# Algorithm: NSGA-II, Scenario: 1, Hosts: 10, VMs: 40, Containers: 400, Run: 1, Solutions: 18
solution_id,makespan,cost,energy,migration
0,287.258,4599.156786227528,326909.09399272414,0.0
1,260.15,4368.095697919366,321976.2027220479,30.52880859375
2,314.54075,3719.9564692208573,365606.57405094977,0.0
3,270.797,3740.794026506792,313174.4258134491,32.82919921875
4,255.93975,4369.154438676996,314930.3474375268,30.609375
5,236.69875,4471.672326138134,292199.7058334956,34.14521484375
6,262.87625,4439.845660758092,313661.99595789675,32.4126953125
7,297.674,4564.94328177099,347876.25866387977,0.0
8,299.04625,4070.592321784021,346802.24039880425,32.68740234375
9,268.6385,3988.9501696283965,314868.15879332303,37.655859375
10,267.695,4283.31503591871,317340.61438063334,34.6513671875
11,287.75225,3828.3996070680737,347107.821872021,30.05
12,265.65375,3977.25437062489,322394.84970466,37.27177734375
13,267.947,4142.864758394293,306987.0522324984,35.31240234375
14,308.086,4173.128801240229,368653.96092142334,29.708984375
15,264.90925,4073.238939895843,319024.5312069684,37.16640625
16,263.092,4101.099358422694,328676.5864337271,35.17041015625
17,264.94975,4295.840145578075,297037.5142323502,34.07509765625
